Move #	Angle (radians)	Distance(cells)
0	-1.5707963267948966	1.0
1	1.5707963267948966	5.0
2	-1.2793395323170291	10.44030650891055
3	-1.0144361478793584	22.67156809750927
4	-0.06241880999595728	15.556349186104045
5	0.7853981633974483	2.0
6	2.782821983319221	8.54400374531753
7	-0.21256680956305463	16.64331697709324
8	-0.005037740757556808	23.853720883753127
